Index,Protocol,Local Address,Remote Address,Local Port,Remote Port,Local Host,Remote Host,Service Name,Packets,Data Size,Total Size,Data Speed,Capture Time,Last Packet Time,Duration
113,TCP,10.0.2.15,20.190.146.35,49793,443,,,https,44,"24,045 Bytes","26,076 Bytes",,10/25/2022 8:41:53 AM:106,10/25/2022 8:41:53 AM:513,00:00.4
114,UDP,10.0.2.15,192.168.0.1,55501,53,,,domain,2,133 Bytes,246 Bytes,,10/25/2022 8:41:54 AM:123,10/25/2022 8:41:54 AM:138,00:00.0
115,TCP,10.0.2.15,204.79.197.203,49794,443,,a-0003.a-msedge.net,https,82,"42,190 Bytes","45,706 Bytes",87.8 KB/Sec,10/25/2022 8:41:54 AM:169,10/25/2022 8:42:56 AM:056,01:01.9
116,TCP,10.0.2.15,183.82.12.193,49795,443,,broadband.actcorp.in,https,29,"9,823 Bytes","11,204 Bytes",11.8 KB/Sec,10/25/2022 8:41:56 AM:498,10/25/2022 8:43:43 AM:270,01:46.8
117,TCP,10.0.2.15,40.125.122.151,49796,443,,,https,31,"4,812 Bytes","6,308 Bytes",313.3 KB/Sec,10/25/2022 8:42:01 AM:888,10/25/2022 8:42:03 AM:607,00:01.7
118,UDP,10.0.2.15,192.168.0.1,54157,53,,,domain,4,369 Bytes,542 Bytes,0.1 KB/Sec,10/25/2022 8:42:02 AM:154,10/25/2022 8:50:18 AM:136,08:16.0
119,TCP,10.0.2.15,204.79.197.203,49797,443,,a-0003.a-msedge.net,https,337,"201,269 Bytes","214,989 Bytes",157.2 KB/Sec,10/25/2022 8:42:02 AM:249,10/25/2022 8:44:28 AM:987,02:26.7
120,UDP,10.0.2.15,192.168.0.1,54297,53,,,domain,2,225 Bytes,356 Bytes,,10/25/2022 8:42:02 AM:765,10/25/2022 8:42:02 AM:778,00:00.0
121,TCP,10.0.2.15,40.90.184.73,49798,443,,,https,27,"11,927 Bytes","13,261 Bytes",,10/25/2022 8:42:02 AM:872,10/25/2022 8:42:03 AM:169,00:00.3
122,UDP,10.0.2.15,192.168.0.1,49721,53,,,domain,2,227 Bytes,359 Bytes,,10/25/2022 8:42:03 AM:169,10/25/2022 8:42:03 AM:169,00:00.0
123,TCP,10.0.2.15,40.90.184.73,49799,443,,,https,29,"14,992 Bytes","16,407 Bytes",,10/25/2022 8:42:03 AM:279,10/25/2022 8:42:03 AM:966,00:00.7
124,UDP,10.0.2.15,192.168.0.1,58874,53,,,domain,2,170 Bytes,286 Bytes,,10/25/2022 8:42:03 AM:919,10/25/2022 8:42:03 AM:935,00:00.0
125,TCP,10.0.2.15,123.176.32.51,49803,443,,broadband.actcorp.in,https,"3,101","2,127,445 Bytes","2,251,724 Bytes",703.5 KB/Sec,10/25/2022 8:42:04 AM:232,10/25/2022 8:46:27 AM:761,04:23.5
126,TCP,10.0.2.15,123.176.32.51,49802,443,,broadband.actcorp.in,https,27,"6,694 Bytes","8,013 Bytes",19.0 KB/Sec,10/25/2022 8:42:04 AM:232,10/25/2022 8:42:46 AM:037,00:41.8
127,TCP,10.0.2.15,123.176.32.51,49801,443,,broadband.actcorp.in,https,26,"6,694 Bytes","7,973 Bytes",19.0 KB/Sec,10/25/2022 8:42:04 AM:232,10/25/2022 8:42:46 AM:037,00:41.8
128,TCP,10.0.2.15,123.176.32.51,49800,443,,broadband.actcorp.in,https,27,"6,694 Bytes","8,013 Bytes",19.0 KB/Sec,10/25/2022 8:42:04 AM:467,10/25/2022 8:42:46 AM:053,00:41.6
129,UDP,10.0.2.15,192.168.0.1,59722,53,,,domain,2,118 Bytes,237 Bytes,,10/25/2022 8:42:04 AM:982,10/25/2022 8:42:04 AM:982,00:00.0
130,TCP,10.0.2.15,117.18.237.29,49804,80,,,http,12,"2,072 Bytes","2,832 Bytes",1.6 KB/Sec,10/25/2022 8:42:05 AM:107,10/25/2022 8:44:28 AM:987,02:23.9
131,UDP,10.0.2.15,192.168.0.1,62512,53,,,domain,2,156 Bytes,292 Bytes,,10/25/2022 8:42:05 AM:638,10/25/2022 8:42:05 AM:638,00:00.0
132,UDP,10.0.2.15,192.168.0.1,65376,53,,,domain,2,256 Bytes,393 Bytes,,10/25/2022 8:42:05 AM:716,10/25/2022 8:42:05 AM:732,00:00.0
133,TCP,10.0.2.15,117.18.232.240,49806,80,,,http,378,"447,003 Bytes","462,581 Bytes",2150.4 KB/Sec,10/25/2022 8:42:05 AM:856,10/25/2022 8:42:25 AM:269,00:19.4
134,TCP,10.0.2.15,209.197.3.8,49805,80,,vip0x008.map2.ssl.hwcdn.net,http,871,"1,001,317 Bytes","1,036,622 Bytes",4465.1 KB/Sec,10/25/2022 8:42:05 AM:919,10/25/2022 8:42:30 AM:217,00:24.3
135,TCP,10.0.2.15,204.79.197.203,49807,443,,a-0003.a-msedge.net,https,130,"70,647 Bytes","76,083 Bytes",57.3 KB/Sec,10/25/2022 8:42:07 AM:185,10/25/2022 8:44:28 AM:987,02:21.8
136,UDP,10.0.2.15,192.168.0.1,60106,53,,,domain,2,220 Bytes,349 Bytes,,10/25/2022 8:42:10 AM:587,10/25/2022 8:42:10 AM:591,00:00.0
137,UDP,10.0.2.15,192.168.0.1,60770,53,,,domain,2,148 Bytes,274 Bytes,,10/25/2022 8:42:10 AM:712,10/25/2022 8:42:10 AM:720,00:00.0
