Index,Protocol,Local Address,Remote Address,Local Port,Remote Port,Local Host,Remote Host,Service Name,Packets,Data Size,Total Size,Data Speed,Capture Time,Last Packet Time,Duration
5392,UDP,10.15.13.179,10.0.2.4,54793,31646,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:119,11/8/2022 12:17:16 PM:477,01:39.4
5393,UDP,10.15.13.179,10.0.2.4,54793,31647,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:119,11/8/2022 12:17:16 PM:477,01:39.4
5394,UDP,10.15.13.179,10.0.2.4,54793,31648,Sumedha,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:15:37 PM:121,11/8/2022 12:15:37 PM:121,00:00.0
5395,UDP,10.15.13.179,10.0.2.4,54793,31650,Sumedha,,,4,"5,888 Bytes","7,500 Bytes",0.1 KB/Sec,11/8/2022 12:15:37 PM:121,11/8/2022 12:17:16 PM:481,01:39.4
5396,UDP,10.15.13.179,10.0.2.4,54793,31651,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:124,11/8/2022 12:17:16 PM:482,01:39.4
5397,UDP,10.15.13.179,10.0.2.4,54793,31652,Sumedha,,,3,"4,416 Bytes","6,000 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:124,11/8/2022 12:17:16 PM:487,01:39.4
5398,UDP,10.15.13.179,10.0.2.4,54793,31654,Sumedha,,,3,"4,416 Bytes","6,000 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:127,11/8/2022 12:17:16 PM:491,01:39.4
5399,UDP,10.15.13.179,10.0.2.4,54793,31655,Sumedha,,,3,"4,416 Bytes","6,000 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:129,11/8/2022 12:17:16 PM:494,01:39.4
5400,UDP,10.15.13.179,10.0.2.4,54793,31657,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:130,11/8/2022 12:17:16 PM:495,01:39.4
5401,UDP,10.15.13.179,10.0.2.4,54793,31659,Sumedha,,,3,"4,416 Bytes","6,000 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:132,11/8/2022 12:17:16 PM:498,01:39.4
