Index,Protocol,Local Address,Remote Address,Local Port,Remote Port,Local Host,Remote Host,Service Name,Packets,Data Size,Total Size,Data Speed,Capture Time,Last Packet Time,Duration
544,UDP,10.0.2.15,172.217.166.97,57740,443,,maa05s09-in-f1.1e100.net,https,39,"18,456 Bytes","20,826 Bytes",48.1 KB/Sec,10/25/2022 9:34:07 AM:824,10/25/2022 9:34:48 AM:987,00:41.2
545,TCP,10.0.2.15,104.120.154.29,50580,443,,a104-120-154-29.deploy.static.akamaitechnologies.com,https,23,"7,894 Bytes","9,073 Bytes",9.0 KB/Sec,10/25/2022 9:34:08 AM:369,10/25/2022 9:36:54 AM:490,02:46.1
546,TCP,10.0.2.15,173.194.52.231,50581,443,,bom07s42-in-f7.1e100.net,https,23,"13,089 Bytes","14,566 Bytes",412.3 KB/Sec,10/25/2022 9:34:10 AM:761,10/25/2022 9:34:14 AM:012,00:03.3
547,UDP,10.0.2.15,192.168.0.1,54640,53,,,domain,6,288 Bytes,524 Bytes,9.1 KB/Sec,10/25/2022 9:34:13 AM:305,10/25/2022 9:34:17 AM:278,00:04.0
548,UDP,10.0.2.15,142.250.76.33,53282,443,,maa03s36-in-f1.1e100.net,https,80,"51,312 Bytes","54,830 Bytes",533.1 KB/Sec,10/25/2022 9:34:13 AM:417,10/25/2022 9:34:26 AM:586,00:13.2
549,TCP,10.0.2.15,13.89.178.27,50582,443,,,https,24,"9,291 Bytes","10,808 Bytes",144.0 KB/Sec,10/25/2022 9:34:13 AM:671,10/25/2022 9:34:24 AM:122,00:10.5
550,UDP,10.0.2.15,142.250.195.246,57862,443,,maa03s43-in-f22.1e100.net,https,186,"138,637 Bytes","145,123 Bytes",1440.3 KB/Sec,10/25/2022 9:34:14 AM:744,10/25/2022 9:34:26 AM:588,00:11.8
551,UDP,10.0.2.15,192.168.0.1,53021,53,,,domain,4,328 Bytes,510 Bytes,10.0 KB/Sec,10/25/2022 9:34:15 AM:766,10/25/2022 9:34:18 AM:045,00:02.3
552,UDP,10.0.2.15,142.250.196.38,60344,443,,maa03s45-in-f6.1e100.net,https,21,"11,328 Bytes","13,194 Bytes",345.7 KB/Sec,10/25/2022 9:34:16 AM:047,10/25/2022 9:34:19 AM:504,00:03.5
553,UDP,10.0.2.15,192.168.0.1,62641,53,,,domain,2,219 Bytes,355 Bytes,13.4 KB/Sec,10/25/2022 9:34:16 AM:106,10/25/2022 9:34:17 AM:302,00:01.2
554,TCP,10.0.2.15,142.250.76.33,50583,443,,maa03s36-in-f1.1e100.net,https,18,"9,260 Bytes","10,537 Bytes",565.2 KB/Sec,10/25/2022 9:34:17 AM:652,10/25/2022 9:34:18 AM:785,00:01.1
555,TCP,10.0.2.15,142.250.76.33,50584,443,,maa03s36-in-f1.1e100.net,https,19,"9,259 Bytes","10,576 Bytes",565.1 KB/Sec,10/25/2022 9:34:17 AM:660,10/25/2022 9:34:18 AM:785,00:01.1
556,TCP,10.0.2.15,142.250.196.38,50585,443,,maa03s45-in-f6.1e100.net,https,16,"6,111 Bytes","7,308 Bytes",127.0 KB/Sec,10/25/2022 9:34:17 AM:898,10/25/2022 9:34:23 AM:627,00:05.7
557,TCP,10.0.2.15,142.250.195.246,50586,443,,maa03s43-in-f22.1e100.net,https,16,"6,294 Bytes","7,491 Bytes",198.3 KB/Sec,10/25/2022 9:34:18 AM:505,10/25/2022 9:34:23 AM:627,00:05.1
558,TCP,10.0.2.15,142.250.196.38,50587,443,,maa03s45-in-f6.1e100.net,https,16,"6,112 Bytes","7,309 Bytes",192.5 KB/Sec,10/25/2022 9:34:18 AM:507,10/25/2022 9:34:23 AM:627,00:05.1
559,TCP,10.0.2.15,13.107.4.50,50588,80,,,http,"2,810","3,029,916 Bytes","3,142,781 Bytes",1661.4 KB/Sec,10/25/2022 9:34:19 AM:054,10/25/2022 9:40:14 AM:314,05:55.3
560,UDP,10.0.2.15,192.168.0.1,49429,53,,,domain,4,160 Bytes,332 Bytes,,10/25/2022 9:34:22 AM:360,10/25/2022 9:34:22 AM:899,00:00.5
561,UDP,10.0.2.15,192.168.0.1,53159,53,,,domain,2,84 Bytes,202 Bytes,,10/25/2022 9:34:22 AM:728,10/25/2022 9:34:22 AM:897,00:00.2
562,UDP,10.0.2.15,142.250.196.36,55201,443,,maa03s45-in-f4.1e100.net,https,23,"10,338 Bytes","12,260 Bytes",631.0 KB/Sec,10/25/2022 9:34:23 AM:112,10/25/2022 9:34:24 AM:404,00:01.3
563,UDP,10.0.2.15,142.250.196.35,53277,443,,maa03s45-in-f3.1e100.net,https,29,"14,113 Bytes","16,203 Bytes",861.4 KB/Sec,10/25/2022 9:34:23 AM:383,10/25/2022 9:34:24 AM:623,00:01.2
564,TCP,10.0.2.15,142.250.196.36,50590,443,,maa03s45-in-f4.1e100.net,https,15,"5,839 Bytes","6,996 Bytes",73.1 KB/Sec,10/25/2022 9:34:23 AM:511,10/25/2022 9:34:28 AM:610,00:05.1
565,TCP,10.0.2.15,142.250.196.35,50591,443,,maa03s45-in-f3.1e100.net,https,15,"5,885 Bytes","7,042 Bytes",122.3 KB/Sec,10/25/2022 9:34:23 AM:854,10/25/2022 9:34:28 AM:526,00:04.7
